AirTran,"[BOEING 717-200,BOEING 737-7BD,BOEING 737-76N]"
Alaska Airlines Inc.,"[BOEING 737-4Q8,BOEING 737-490,BOEING 737-890,BOEING 737-790,BOEING 737-990]"
American Airlines Inc.,"[MCDONNELL DOUGLAS DC-9-82(MD-82),MCDONNELL DOUGLAS DC-9-83(MD-83),BOEING 757-223,AIRBUS INDUSTRIE A319-112,AIRBUS INDUSTRIE A319-132]"
American Eagle Airlines Inc.,"[EMBRAER EMB-145LR,EMBRAER EMB-135KL,EMBRAER EMB-135LR,BOMBARDIER INC CL-600-2C10,SAAB-SCANIA SAAB 340B]"
Atlantic Southeast Airlines,"[BOMBARDIER INC CL-600-2B19,EMBRAER EMB-145LR,EMBRAER EMB-145XR,BOMBARDIER INC CL-600-2C10,CANADAIR CL-600-2B19]"
Comair,"[BOMBARDIER INC CL-600-2B19,CANADAIR CL-600-2B19,BOMBARDIER INC CL-600-2C10,BOMBARDIER INC CL600-2D24,PIPER PA-28-180]"
Continental Air Lines Inc.,"[BOEING 737-524,BOEING 737-824,BOEING 737-3TO,BOEING 737-724,BOEING 757-224]"
Delta Air Lines Inc.,"[MCDONNELL DOUGLAS AIRCRAFT CO MD-88,BOEING 757-232,BOEING 737-832,BOEING 717-200,BOEING 767-332]"
Frontier Airlines Inc.,"[AIRBUS A319-111,AIRBUS A318-111,AIRBUS A319-112,AIRBUS INDUSTRIE A319-111,AIRBUS A320-214]"
Hawaiian Airlines Inc.,"[BOEING 717-200,BOEING 767-33A,BOEING 767-3CB,BOEING 767-332,BOEING 767-3G5]"
Independence Air,[BOMBARDIER INC CL-600-2B19]
JetBlue Airways,"[AIRBUS A320-232,EMBRAER ERJ 190-100 IGW,AIRBUS INDUSTRIE A320-232]"
JetSuite Air,"[EMBRAER EMB-145LR,EMBRAER EMB-145XR,EMBRAER EMB-145EP,EMBRAER EMB-135LR,EMBRAER EMB-135ER]"
Mesa Airlines Inc.,"[BOMBARDIER INC CL600-2D24,BOMBARDIER INC CL-600-2C10,BOMBARDIER INC CL-600-2B19,DEHAVILLAND DHC-8-202,CANADAIR CL-600-2B19]"
Northwest Airlines Inc.,"[MCDONNELL DOUGLAS DC-9-51,BOEING 757-251,DOUGLAS DC-9-31,AIRBUS INDUSTRIE A320-212,AIRBUS INDUSTRIE A320-211]"
PSA Airlines Inc.,"[BOMBARDIER INC CL-600-2B19,CANADAIR CL-600-2B19,BOMBARDIER INC CL-600-2C10,BOMBARDIER INC CL600-2D24,PIPER PA-28-180]"
Pinnacle Airlines Inc.,"[BOMBARDIER INC CL-600-2B19,BOMBARDIER INC CL-600-2C10,BOMBARDIER INC CL600-2D24]"
Skywest Airlines Inc.,"[BOMBARDIER INC CL-600-2B19,BOMBARDIER INC CL-600-2C10,EMBRAER EMB-120ER,BOMBARDIER INC CL600-2D24,CANADAIR CL-600-2B19]"
Southwest Airlines Co.,"[BOEING 737-7H4,BOEING 737-3H4,BOEING 737-5H4,BOEING 737-3Q8,BOEING 737-3G7]"
US Airways,"[AIRBUS INDUSTRIE A319-112,BOEING 737-4B7,AIRBUS INDUSTRIE A319-132,BOEING 737-3B7,BOEING 737-401]"
United Airlines,"[AIRBUS INDUSTRIE A320-232,BOEING 757-222,BOEING 737-322,AIRBUS INDUSTRIE A319-131,BOEING 737-824]"
